Validation_Set,Topics,Alpha,Beta,Coherence
100% Corpus,6,0.01,0.01,0.48984178070574086
100% Corpus,6,0.01,0.31,0.5193213498214285
100% Corpus,6,0.01,0.61,0.5448261434867433
100% Corpus,6,0.01,0.9099999999999999,0.5401187007238387
100% Corpus,6,0.01,symmetric,0.4995807636368083
100% Corpus,6,0.31,0.01,0.49623425750449385
100% Corpus,6,0.31,0.31,0.5228624001240777
100% Corpus,6,0.31,0.61,0.5448261434867433
100% Corpus,6,0.31,0.9099999999999999,0.5365274939542409
100% Corpus,6,0.31,symmetric,0.4990752505415755
100% Corpus,6,0.61,0.01,0.5119273732025342
100% Corpus,6,0.61,0.31,0.525167306837462
100% Corpus,6,0.61,0.61,0.5418807990312481
100% Corpus,6,0.61,0.9099999999999999,0.5124053962475553
100% Corpus,6,0.61,symmetric,0.5017119209092347
100% Corpus,6,0.9099999999999999,0.01,0.5038809547784571
100% Corpus,6,0.9099999999999999,0.31,0.514446179225403
100% Corpus,6,0.9099999999999999,0.61,0.541070685352581
100% Corpus,6,0.9099999999999999,0.9099999999999999,0.4999832766774411
100% Corpus,6,0.9099999999999999,symmetric,0.5070209851111367
100% Corpus,6,symmetric,0.01,0.492872657995631
100% Corpus,6,symmetric,0.31,0.5228624001240777
100% Corpus,6,symmetric,0.61,0.5448261434867433
100% Corpus,6,symmetric,0.9099999999999999,0.5365274939542409
100% Corpus,6,symmetric,symmetric,0.4976532413616949
100% Corpus,6,asymmetric,0.01,0.5100693538648512
100% Corpus,6,asymmetric,0.31,0.522896571965669
100% Corpus,6,asymmetric,0.61,0.5397044641223113
100% Corpus,6,asymmetric,0.9099999999999999,0.5058436830477419
100% Corpus,6,asymmetric,symmetric,0.524649841874718
100% Corpus,7,0.01,0.01,0.5377062717537612
100% Corpus,7,0.01,0.31,0.4919538165475908
100% Corpus,7,0.01,0.61,0.5404123465471584
100% Corpus,7,0.01,0.9099999999999999,
100% Corpus,7,0.01,symmetric,0.5346992023000035
100% Corpus,7,0.31,0.01,0.5338343727013265
100% Corpus,7,0.31,0.31,0.4957013785984948
100% Corpus,7,0.31,0.61,0.5452821761431129
100% Corpus,7,0.31,0.9099999999999999,
100% Corpus,7,0.31,symmetric,0.5394845349543489
100% Corpus,7,0.61,0.01,0.5497140212620063
100% Corpus,7,0.61,0.31,0.49619217436311747
